population,epsilon,beta0,zone,weight,distance,peak_infectious,peak_day,attack_rate,n_waves,mean_alert_level
5,0.8,0.026010858274977403,sparse_periphery,0.004729197684738167,0.6320691134523436,74.0,48.0,0.994,10.0,2.032876712328767
5,0.8,0.010455697963511361,dense_periphery,0.007496079795401955,0.790907979315149,77.0,24.0,0.972,10.0,2.158904109589041
5,0.8,0.021320439836717477,sparse_periphery,0.004017303950744649,0.6898272984618157,77.0,14.0,0.942,9.0,2.0082191780821916
5,0.8,0.025940006089655965,sparse_periphery,0.004696519948754098,0.7391785851249234,65.0,37.0,0.964,11.0,2.0547945205479454
5,0.8,0.015619073703191167,sparse_periphery,0.007343127484001253,0.7907990066241086,55.0,31.0,0.888,10.0,1.989041095890411
5,0.8,0.02134576493469239,sparse_periphery,0.004014635121649394,0.7999471588770535,74.0,25.0,0.964,10.0,2.043835616438356
5,0.8,0.010170378184671904,dense_periphery,0.0074337796189612535,0.7688761621156011,54.0,62.0,0.964,13.0,2.084931506849315
5,0.8,0.02158881205395549,sparse_periphery,0.003992288842193818,0.7099060464400551,93.0,22.0,0.964,12.0,2.0136986301369864
5,0.8,0.02723663424370978,sparse_periphery,0.00544856219786949,0.5052036158121151,86.0,30.0,0.982,10.0,1.7424657534246575
5,0.8,0.023115517121936782,sparse_periphery,0.003987781350580059,0.6841099780059514,59.0,46.0,0.954,13.0,2.2273972602739724
5,0.8,0.023134632412392237,sparse_periphery,0.0039892565792274265,0.7815607357786389,54.0,62.0,0.964,11.0,2.1561643835616437
5,0.8,0.010527455990481606,dense_periphery,0.007518921991186593,0.7939423944022524,60.0,19.0,0.95,11.0,1.9397260273972603
5,0.8,0.0203808726476501,sparse_periphery,0.004163161437345172,0.6891434042335779,48.0,148.0,0.93,9.0,2.0657534246575344
5,0.8,0.015676717578706947,sparse_periphery,0.007258418351903466,0.6708089396124488,49.0,49.0,0.884,9.0,1.8438356164383563
5,0.8,0.008235200704247284,dense_periphery,0.008259721210601824,0.7422024337176658,63.0,53.0,0.914,10.0,1.6547945205479453
5,0.8,0.013206539485407776,dense_periphery,0.010987827363577788,0.6711774045286321,93.0,34.0,0.992,10.0,1.8547945205479452
5,0.8,0.019811837429885452,sparse_periphery,0.004299142229796503,0.5939156526554388,51.0,46.0,0.93,11.0,2.095890410958904
5,0.8,0.019830040573118726,sparse_periphery,0.004294181546742362,0.6459082371028984,57.0,188.0,0.962,8.0,1.8684931506849316
5,0.8,0.00958111416628219,dense_periphery,0.0074480216280576475,0.6770393150139954,54.0,13.0,0.926,7.0,1.9095890410958904
5,0.8,0.024915326048128593,sparse_periphery,0.0043143440028158364,0.6660532857210719,64.0,19.0,0.958,10.0,1.9506849315068493
5,0.8,0.019408705651126,sparse_periphery,0.004420212779591092,0.5720043297710113,67.0,49.0,0.934,11.0,1.9917808219178081
