group_id,group_label,scenario_id,zone_id,zone,beta0,run_id,policy_active,mean_peak_infectious,max_peak_infectious,n_waves,total_infections,total_dead,total_reinfections,epidemic_duration,peak_day,policy_effect,max_alert,first_alert_day,days_alert_0,days_alert_1,days_alert_2,days_alert_3,mean_compliance,mean_doctor_prob,mean_fatality_rate,mean_immunity_days,frac_public_transit,n_agents
0,b0.010_dense,0,0,dense_periphery,0.01,13,0,54.44,107.0,9,1273,10,779,364,34,0.272226304188097,0,-1,365,0,0,0,0.2832,0.4987,0.01202,90.9,0.502,500
0,b0.010_dense,0,0,dense_periphery,0.01,13,1,39.62,80.0,8,922,9,445,364,49,0.272226304188097,3,2,67,52,138,108,0.2834,0.4962,0.012,90.5,0.4969,500
0,b0.010_dense,0,0,dense_periphery,0.01,14,0,55.62,92.0,8,1249,10,750,364,187,0.2583603020496224,0,-1,365,0,0,0,0.264,0.4935,0.01441,92.0,0.5082,500
0,b0.010_dense,0,0,dense_periphery,0.01,14,1,41.25,71.0,8,1019,6,532,364,35,0.2583603020496224,3,7,45,89,82,149,0.2648,0.4922,0.01436,91.8,0.5061,500
0,b0.010_dense,0,0,dense_periphery,0.01,15,0,45.36,89.0,11,1158,10,666,364,36,0.27689594356261027,0,-1,365,0,0,0,0.2701,0.5098,0.0157,91.1,0.5184,500
0,b0.010_dense,0,0,dense_periphery,0.01,15,1,32.8,47.0,10,979,11,513,364,28,0.27689594356261027,3,4,22,66,161,116,0.2665,0.5063,0.01606,91.2,0.5174,500
0,b0.010_dense,0,0,dense_periphery,0.01,16,0,38.2,77.0,10,969,10,481,364,38,-0.023560209424083732,0,-1,365,0,0,0,0.2795,0.4964,0.01427,90.1,0.4898,500
0,b0.010_dense,0,0,dense_periphery,0.01,16,1,39.1,54.0,10,1071,8,594,364,50,-0.023560209424083732,3,5,9,80,139,137,0.2793,0.4998,0.01491,90.1,0.4837,500
0,b0.010_dense,0,0,dense_periphery,0.01,17,0,55.67,89.0,9,1213,7,720,364,29,0.42698042033411177,0,-1,365,0,0,0,0.2759,0.4889,0.01244,89.9,0.5112,500
0,b0.010_dense,0,0,dense_periphery,0.01,17,1,31.9,47.0,10,927,11,453,364,44,0.42698042033411177,3,4,35,79,112,139,0.275,0.4891,0.01245,89.9,0.5133,500
0,b0.010_dense,0,0,dense_periphery,0.01,18,0,60.0,102.0,8,1153,5,661,364,27,0.25366666666666665,0,-1,365,0,0,0,0.2403,0.5081,0.01352,90.9,0.5273,500
0,b0.010_dense,0,0,dense_periphery,0.01,18,1,44.78,74.0,9,1012,10,539,364,32,0.25366666666666665,3,5,67,66,66,166,0.2394,0.5073,0.01307,90.8,0.5286,500
0,b0.010_dense,0,0,dense_periphery,0.01,19,0,43.91,109.0,11,1103,5,613,364,38,0.08904577544978358,0,-1,365,0,0,0,0.2719,0.4988,0.01192,91.1,0.4566,500
0,b0.010_dense,0,0,dense_periphery,0.01,19,1,40.0,74.0,10,1069,5,581,364,44,0.08904577544978358,3,3,58,68,78,161,0.2703,0.4998,0.01259,91.0,0.4606,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,0,0,35.29,56.0,7,656,7,261,364,82,0.30093510909606114,0,-1,365,0,0,0,0.6074,0.6667,0.01208,88.8,0.1684,500
